Date,ABNB,BABA,CNP,DUK,EVRG,F,JD,LCID,NEE,RIVN,SHOPCN,SMCI,SO,SPOT,UBER,WEC
2024-05-08,938.19198109282,,,1010.9017260252598,1056.3777964974277,969.227869994247,,845.87641362653,1145.6727709164484,1001.8499315378684,942.2346229633276,1422.6760609216224,1041.4250008819918,949.1471247328307,1156.0793611079062,
2024-05-15,924.4367510843459,,,1014.0396668122258,1058.9578826383452,974.0110498826418,,852.8487436846549,1192.9263365837828,1010.9862803286574,936.3312993441908,1552.9440850773742,1047.1917473440667,952.8262023750938,1152.9599432421476,
2024-05-22,922.7128418214115,,,1010.9688711648447,1051.1451263308013,960.6573796306433,970.0162879662056,849.9655283920722,1180.8795710711795,1016.6887463838563,937.0874117536647,1492.5906727326433,1040.1355047586298,950.4596073388199,1135.733592552578,
2024-05-29,923.3424243803195,946.9215530679317,,1005.8394185817033,1036.0134722333514,947.163018997925,912.707393182812,846.8152119267526,1189.8757191225923,996.6055188561701,936.8647124270146,1459.6712835448577,1028.9729023817963,956.9503330648392,1128.00586674026,1030.4269295685747
2024-06-05,926.4102511480185,961.8935569442795,,1014.177061214037,1049.2474317563453,968.0169533448188,943.3304948094997,854.798977174887,1197.4094701199501,1050.1185667784148,941.0591828543141,1418.1768656005547,1046.0635440077835,973.3634167849806,1146.7366563641685,1047.4944664893135
2024-06-12,927.1797748680881,939.6161025794956,,1008.9502212283435,1050.0694394043994,971.5574559240437,920.4116637912504,854.2167226737163,1143.4368929501647,1062.7587493149556,943.7690121425507,1383.506638471053,1043.7638753817687,963.816840292426,1216.0357307032907,1042.3485909273893
2024-06-19,928.5214040344874,887.959840327639,,1009.492683732825,1040.1616371880025,959.1801870904497,909.2063125972355,855.793898513476,1128.1917687435312,1036.9359949981724,945.6427816435289,1530.4950189330107,1043.4681541955592,965.0961143637793,1195.2371580575495,1041.1631791176771
2024-06-26,928.5932674925721,874.6439468280083,,1006.7194304471465,1053.4172958811616,968.2549649490273,881.5920452144503,856.2533472466965,1153.9623745496401,1160.9890832043448,947.2992291319863,1424.248794488151,1040.0059089197632,971.6309941618649,1194.9087704212407,1035.5466101179127
2024-07-03,930.8634425365071,883.9255282108908,,1007.1132225083379,1043.100927255945,995.8652238996382,876.8147871566084,861.9145432983074,1140.525951454515,1129.3178006563505,949.2406199065036,1431.7571257545603,1036.3419676166934,968.4728388277006,1202.0714320684363,1034.3443988905483
2024-07-10,932.8307197863946,891.1093174205848,,1013.8108911387593,1067.2573177879874,1009.7487261982218,883.182143695913,867.0644242642667,1150.7689668782232,1167.3708421206238,949.7765228669508,1489.555036708671,1041.5322042772955,965.1916018939443,1187.3189612290803,1038.7003857128298
2024-07-17,934.6058773217252,906.8846218277765,,1031.0598987002134,1063.2964982573171,1071.168054987066,893.5072988949917,876.2604137755328,1140.5851685896687,1238.4322773513154,952.25811698468,1407.7688710907296,1057.2947256656128,960.7020365481266,1189.7234037802036,1060.3430741188522
2024-07-24,938.1945175502588,890.9488396677576,,1038.3837267892725,1069.7000477708632,1049.0098433444857,872.8942626746137,873.947709790642,1187.8510930711532,1202.8858345552553,949.6541790187589,1307.5776285208826,1057.503296751187,980.8124982671608,1179.3063340504466,1068.042503973435
2024-07-31,937.4570504698795,919.2040096461582,1002.1077659899305,1042.4245139275936,1094.8882110243849,947.0064894054611,886.235499791471,880.5091071761525,1196.2465218583845,1214.9459639735987,952.9844326062557,1295.1622935715525,1071.7865623425025,986.6606443446846,1159.2602363623146,1071.2483704708798
2024-08-07,935.2060255026312,923.9239421714894,1012.4039846498667,1072.8598432724978,1112.8378907613874,940.9856560311157,890.4471336409166,883.654410801396,1226.3748169170362,1127.6488553372003,958.885152389595,1117.327371741704,1105.8953092453614,987.2710339695477,1180.7422719104322,1116.443517581513
2024-08-14,934.518045682291,934.2120159488929,1007.9967308657771,1060.4370256230422,1106.5620306807587,943.7608030034518,879.2752170475816,885.5281850928164,1221.10022872116,1092.704979890021,960.9416041775042,1173.13309576116,1094.716164132338,986.9045773030019,1213.7974965758142,1105.3259308397276
2024-08-21,935.6683263483017,952.66616953547,1007.7127163948851,1053.5615255476528,1103.1386064455817,955.8815302733079,898.0969871528258,888.3787514386153,1227.1855748712896,1093.3264899584908,964.6273236836429,1216.4341731668346,1090.2364660127982,988.545357014131,1222.9130590470331,1115.4467695073372
2024-08-28,936.8118382489722,938.6243376684016,1012.8191582802801,1052.9372925246796,1100.1911728119528,961.1593464144361,889.1649411116731,892.6273353824171,1225.347758639036,1121.6368460238557,963.5873755992313,1102.1310943047354,1085.8974720551596,984.2130102784553,1206.4490505487795,1121.6646063246424
2024-09-04,939.1757316386447,958.5004911768463,1019.7141998559424,1075.2832234322161,1110.2644572070813,961.2183383284971,901.7739429315349,895.9480015948742,1248.9557646205167,1113.0937588279235,964.9950420056765,1082.1501104653655,1111.74708007567,983.0374037142126,1210.443050520849,1133.5045476480898
